,product_id,product_name,display_price,regular_price,currency,uom,item_link,item_imge_link
7,466040,Mận hậu,"49,000",,₫,Ký,https://online.mmvietnam.com/san-pham/mm-an-phu/man-hau-466040/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/400753-300x300.jpg
8,466061,Lê mắc cọp,"49,000",,₫,Ký,https://online.mmvietnam.com/san-pham/mm-an-phu/le-mac-cop-466061/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/336460-300x300.jpg
9,464522,Cá thát lát nạo We Are Fresh tươi,"275,000",,₫,Gói,https://online.mmvietnam.com/san-pham/mm-an-phu/ca-that-lat-nao-we-are-fresh-tuoi-464522/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/399342-300x300.jpg
10,464599,Bơ sáp Daklak,"15,000","18,000",₫,Ký,https://online.mmvietnam.com/san-pham/mm-an-phu/bo-sap-daklak-464599/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/251986-300x300.jpg
11,464038,Măng vàng chua ngọt 500g,"28,000",,₫,Cái,https://online.mmvietnam.com/san-pham/mm-an-phu/mang-vang-chua-ngot-500g-464038/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/399493-300x300.jpg
12,464058,Nấm linh chi nâu Hàn Quốc 150g,"36,000",,₫,Cái,https://online.mmvietnam.com/san-pham/mm-an-phu/nam-linh-chi-nau-han-quoc-150g-464058/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/74479-300x300.jpg
13,464072,Cá lóc đen làm sạch còn mang We Are Fresh 0.-5-1.0 kg,"79,000","85,000",₫,Ký,https://online.mmvietnam.com/san-pham/mm-an-phu/ca-loc-den-lam-sach-con-mang-we-are-fresh-0-5-1-0-kg-464072/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/399329-300x300.jpg
14,464093,Cá thát lát tươi We Are Fresh 0.2-3.0 kg,"125,000",,₫,Ký,https://online.mmvietnam.com/san-pham/mm-an-phu/ca-that-lat-tuoi-we-are-fresh-0-2-3-0-kg-464093/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/399340-300x300.jpg
15,458252,Táo Ambrosia We Are Fresh nhập khẩu xuất xứ Mỹ,"69,000","75,000",₫,Ký,https://online.mmvietnam.com/san-pham/mm-an-phu/tao-ambrosia-we-are-fresh-nhap-khau-xuat-xu-my-458252/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/400018-300x300.jpg
16,456016,Bưởi hồng da xanh We Are Fresh 1.3kg trở lên,"53,000",,₫,Ký,https://online.mmvietnam.com/san-pham/mm-an-phu/buoi-hong-da-xanh-we-are-fresh-1-3kg-tro-len-456016/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/391355-300x300.jpg
